Table Name in NetSuite2.com,Field ID in NetSuite2.com,Field Name in NetSuite2.com
jobaddressbookentityaddress,addr2,
locationmainaddress,addr2,
locationreturnaddress,addr2,
mdrtestcheckpayeeaddress,addr2,
mfgprojectaddressbookentityaddress,addr2,
opportunitybillingaddress,addr2,
opportunityshippingaddress,addr2,
othernameaddressbookentityaddress,addr2,
partneraddressbookentityaddress,addr2,
purchaseorderbillingaddress,addr2,
purchaseordershippingaddress,addr2,
returnauthorizationbillingaddress,addr2,
returnauthorizationshippingaddress,addr2,
revenuecommitmentbillingaddress,addr2,
revenuecommitmentreversalbillingaddress,addr2,
revenuecommitmentreversalshippingaddress,addr2,
revenuecommitmentshippingaddress,addr2,
salesorderbillingaddress,addr2,
salesorderitemshippingaddress,addr2,
salesordershippingaddress,addr2,
subsidiarymainaddress,addr2,
subsidiaryreturnaddress,addr2,
subsidiaryshippingaddress,addr2,
transactionaddressmappingaddress,addr2,
transactionbillingaddress,addr2,
transactionbillingaddressbookentityaddress,addr2,
transactionlineaddressmappinglineaddress,addr2,
transactionpayeeaddressbookentityaddress,addr2,
transactionreturnaddressbookentityaddress,addr2,
transactionshippingaddress,addr2,
transactionshippingaddressbookentityaddress,addr2,
transferordershippingaddress,addr2,
vendoraddressbookentityaddress,addr2,
vendorbillbillingaddress,addr2,
vendorcreditbillingaddress,addr2,
vendorpaymentpayeeaddress,addr2,
vendorprepaymentpayeeaddress,addr2,
vendorreturnauthorizationbillingaddress,addr2,
workplacemainaddress,addr2,
cashrefundbillingaddress,addr3,
cashrefundshippingaddress,addr3,
cashsalebillingaddress,addr3,
cashsaleitemshippingaddress,addr3,
cashsaleshippingaddress,addr3,
checkpayeeaddress,addr3,
companyaddressbookentityaddress,addr3,
contactaddressbookentityaddress,addr3,
creditmemobillingaddress,addr3,
creditmemoitemshippingaddress,addr3,
creditmemoshippingaddress,addr3,
customeraddressbookentityaddress,addr3,
customerrefundpayeeaddress,addr3,
employeeaddressbookentityaddress,addr3,
entityaddress,addr3,
estimatebillingaddress,addr3,
estimateitemshippingaddress,addr3,
estimateshippingaddress,addr3,
intercompanytransferordershippingaddress,addr3,
invoicebillingaddress,addr3,
invoiceitemshippingaddress,addr3,
invoiceshippingaddress,addr3,
itemfulfillmentreturnaddress,addr3,
itemfulfillmentshippingaddress,addr3,
jobaddressbookentityaddress,addr3,
locationmainaddress,addr3,
locationreturnaddress,addr3,
mdrtestcheckpayeeaddress,addr3,
mfgprojectaddressbookentityaddress,addr3,
opportunitybillingaddress,addr3,
opportunityshippingaddress,addr3,
othernameaddressbookentityaddress,addr3,
partneraddressbookentityaddress,addr3,
purchaseorderbillingaddress,addr3,
purchaseordershippingaddress,addr3,
returnauthorizationbillingaddress,addr3,
returnauthorizationshippingaddress,addr3,
revenuecommitmentbillingaddress,addr3,
revenuecommitmentreversalbillingaddress,addr3,
revenuecommitmentreversalshippingaddress,addr3,
revenuecommitmentshippingaddress,addr3,
salesorderbillingaddress,addr3,
salesorderitemshippingaddress,addr3,
salesordershippingaddress,addr3,
subsidiarymainaddress,addr3,
subsidiaryreturnaddress,addr3,
subsidiaryshippingaddress,addr3,
transactionaddressmappingaddress,addr3,
transactionbillingaddress,addr3,
transactionbillingaddressbookentityaddress,addr3,
transactionlineaddressmappinglineaddress,addr3,
transactionpayeeaddressbookentityaddress,addr3,
transactionreturnaddressbookentityaddress,addr3,
transactionshippingaddress,addr3,
